code,name,manager,benchmark
005827,易方达蓝筹精选,张坤,sh000300
003095,中欧医疗健康,葛兰,sz399999
519133,海富通改革驱动,周雪军,sh000300
007549,中泰开阳价值优选,田瑀,sh000300
005669,前海开源公用事业,崔宸龙,sh000300
009707,工银新兴制造,张宇帆,sh000300
011252,华安聚优精选,饶晓鹏,sh000300
004139,中邮军民融合,王高,sh000300
118001,易方达亚洲精选,张坤,sh000300
006947,易方达中证海外互联网,余海燕,sh000300
009342,易方达优质企业,张坤,sh000300
006252,永赢消费主题,蒋卫华,sh000300
001815,华泰柏瑞激励动力,沈雪峰,sh000300
010685,工银前沿医疗,赵蓓,sz399999
006228,中欧医疗创新,葛兰,sz399999
100020,富国天益价值混合,唐颐恒,sh000300
010658,海富通欣睿混合,江勇,sh000300
006624,中泰玉衡价值优选混合,姜诚,sh000300
001298,金鹰民族新兴混合,陈颖,sh000300
